cnt_idx	ref_token	ref_kind	source_column	line_no
CNT-IDX-0000001	1,17	NUMPAIR	p001-c00	3
CNT-IDX-0000001	;	SEP	p001-c00	3
CNT-IDX-0000001	16	NUM	p001-c00	3
CNT-IDX-0000001	54	NUM	p001-c00	3
CNT-IDX-0000002	119,88	NUMPAIR	p001-c00	4
CNT-IDX-0000002	;	SEP	p001-c00	4
CNT-IDX-0000002	121	NUM	p001-c00	4
CNT-IDX-0000002	52	NUM	p001-c00	4
CNT-IDX-0000002	;	SEP	p001-c00	4
CNT-IDX-0000002	131,58	NUMPAIR	p001-c00	4
CNT-IDX-0000002	;	SEP	p001-c00	4
CNT-IDX-0000002	v.	SIGLA	p001-c00	4
CNT-IDX-0000003	1,1	NUMPAIR	p001-c00	6
CNT-IDX-0000004	22	NUM	p001-c00	8
CNT-IDX-0000004	36	NUM	p001-c00	8
CNT-IDX-0000005	121,102	NUMPAIR	p001-c00	9
CNT-IDX-0000005	;	SEP	p001-c00	9
CNT-IDX-0000006	77	NUM	p001-c00	10
CNT-IDX-0000006	72	NUM	p001-c00	10
CNT-IDX-0000007	5-	OTHER	p001-c00	11
CNT-IDX-0000008	67	NUM	p001-c00	13
CNT-IDX-0000008	49	NUM	p001-c00	13
CNT-IDX-0000009	77	NUM	p001-c00	14
CNT-IDX-0000009	93	NUM	p001-c00	14
CNT-IDX-0000010	4	NUM	p001-c00	15
CNT-IDX-0000010	24	NUM	p001-c00	15
CNT-IDX-0000010	^	MARK	p001-c00	15
CNT-IDX-0000011	4	NUM	p001-c00	16
CNT-IDX-0000011	85	NUM	p001-c00	16
CNT-IDX-0000012	84	NUM	p001-c00	17
CNT-IDX-0000012	82	NUM	p001-c00	17
CNT-IDX-0000013	33	NUM	p001-c00	18
CNT-IDX-0000013	48	NUM	p001-c00	18
CNT-IDX-0000014	55	NUM	p001-c00	19
CNT-IDX-0000014	46	NUM	p001-c00	19
CNT-IDX-0000015	128	NUM	p001-c00	22
CNT-IDX-0000015	11	NUM	p001-c00	22
CNT-IDX-0000016	121,98	NUMPAIR	p001-c00	23
CNT-IDX-0000016	;	SEP	p001-c00	23
CNT-IDX-0000016	J	SIGLA	p001-c00	23
CNT-IDX-0000016	125,87	NUMPAIR	p001-c00	23
CNT-IDX-0000016	;	SEP	p001-c00	23
CNT-IDX-0000016	129,35	NUMPAIR	p001-c00	23
CNT-IDX-0000017	67	NUM	p001-c00	25
CNT-IDX-0000017	8	NUM	p001-c00	25
CNT-IDX-0000018	19	NUM	p001-c00	26
CNT-IDX-0000018	74	NUM	p001-c00	26
CNT-IDX-0000019	53	NUM	p001-c00	27
CNT-IDX-0000019	75	NUM	p001-c00	27
CNT-IDX-0000019	°	MARK	p001-c00	27
CNT-IDX-0000020	12	NUM	p001-c00	28
CNT-IDX-0000020	60	NUM	p001-c00	28
CNT-IDX-0000021	112,97	NUMPAIR	p001-c00	29
CNT-IDX-0000022	7	NUM	p001-c00	30
CNT-IDX-0000022	27	NUM	p001-c00	30
CNT-IDX-0000023	7	NUM	p001-c00	31
CNT-IDX-0000023	42	NUM	p001-c00	31
CNT-IDX-0000024	28,94	NUMPAIR	p001-c00	32
CNT-IDX-0000025	120,56	NUMPAIR	p001-c00	33
CNT-IDX-0000025	;	SEP	p001-c00	33
CNT-IDX-0000025	121	NUM	p001-c00	33
CNT-IDX-0000025	464s	OTHER	p001-c00	33
CNT-IDX-0000025	195,8	NUMPAIR	p001-c00	33
CNT-IDX-0000025	;	SEP	p001-c00	33
CNT-IDX-0000025	1:	OTHER	p001-c00	33
CNT-IDX-0000026	4,24	NUMPAIR	p001-c00	35
CNT-IDX-0000027	74	NUM	p001-c00	36
CNT-IDX-0000027	10	NUM	p001-c00	36
CNT-IDX-0000028	12	NUM	p001-c00	38
CNT-IDX-0000028	26	NUM	p001-c00	38
CNT-IDX-0000029	12	NUM	p001-c00	39
CNT-IDX-0000029	43	NUM	p001-c00	39
CNT-IDX-0000030	105	NUM	p001-c00	40
CNT-IDX-0000030	15	NUM	p001-c00	40
CNT-IDX-0000031	105	NUM	p001-c00	41
CNT-IDX-0000031	15	NUM	p001-c00	41
CNT-IDX-0000031	°	MARK	p001-c00	41
CNT-IDX-0000032	28	NUM	p001-c00	42
CNT-IDX-0000032	86	NUM	p001-c00	42
CNT-IDX-0000033	13	NUM	p001-c00	43
CNT-IDX-0000033	2	NUM	p001-c00	43
CNT-IDX-0000034	120,33	NUMPAIR	p001-c00	44
CNT-IDX-0000034	;	SEP	p001-c00	44
CNT-IDX-0000034	135	NUM	p001-c00	44
CNT-IDX-0000034	72	NUM	p001-c00	44
CNT-IDX-0000034	;	SEP	p001-c00	44
CNT-IDX-0000034	131	NUM	p001-c00	44
CNT-IDX-0000034	9	NUM	p001-c00	44
CNT-IDX-0000035	28	NUM	p001-c00	47
CNT-IDX-0000035	69	NUM	p001-c00	47
CNT-IDX-0000036	67	NUM	p001-c00	48
CNT-IDX-0000036	47	NUM	p001-c00	48
CNT-IDX-0000037	4	NUM	p001-c00	50
CNT-IDX-0000038	125	NUM	p001-c00	51
CNT-IDX-0000038	261	NUM	p001-c00	51
CNT-IDX-0000039	13	NUM	p001-c00	52
CNT-IDX-0000039	1	NUM	p001-c00	52
CNT-IDX-0000040	22,98	NUMPAIR	p001-c00	53
CNT-IDX-0000041	29	NUM	p001-c00	54
CNT-IDX-0000041	74	NUM	p001-c00	54
CNT-IDX-0000042	37	NUM	p001-c00	55
CNT-IDX-0000042	89	NUM	p001-c00	55
CNT-IDX-0000043	3	NUM	p001-c01	3
CNT-IDX-0000043	10	NUM	p001-c01	3
CNT-IDX-0000044	48	NUM	p001-c01	4
CNT-IDX-0000044	75	NUM	p001-c01	4
CNT-IDX-0000044	°	MARK	p001-c01	4
CNT-IDX-0000045	48	NUM	p001-c01	5
CNT-IDX-0000045	72	NUM	p001-c01	5
CNT-IDX-0000046	103	NUM	p001-c01	7
CNT-IDX-0000046	26	NUM	p001-c01	7
CNT-IDX-0000046	;	SEP	p001-c01	7
CNT-IDX-0000046	130	NUM	p001-c01	7
CNT-IDX-0000047	97	NUM	p001-c01	8
CNT-IDX-0000047	79	NUM	p001-c01	8
CNT-IDX-0000048	47	NUM	p001-c01	9
CNT-IDX-0000048	43	NUM	p001-c01	9
CNT-IDX-0000049	23	NUM	p001-c01	10
CNT-IDX-0000049	69	NUM	p001-c01	10
CNT-IDX-0000049	°	MARK	p001-c01	10
CNT-IDX-0000049	132,151	NUMPAIR	p001-c01	10
CNT-IDX-0000049	abradit	OTHER	p001-c01	10
CNT-IDX-0000049	71	NUM	p001-c01	10
CNT-IDX-0000049	91	NUM	p001-c01	10
CNT-IDX-0000050	120,66	NUMPAIR	p001-c01	12
CNT-IDX-0000050	;	SEP	p001-c01	12
CNT-IDX-0000050	12	NUM	p001-c01	12
CNT-IDX-0000050	15%	OTHER	p001-c01	12
CNT-IDX-0000050	194,67	NUMPAIR	p001-c01	12
CNT-IDX-0000050	;	SEP	p001-c01	12
CNT-IDX-0000050	195	NUM	p001-c01	12
CNT-IDX-0000050	24	NUM	p001-c01	12
CNT-IDX-0000050	60	NUM	p001-c01	12
