cnt_idx	ref_no	ref_norm	ref_type	sigla_prefix	marks	attach_prev	source_column	line_no	group_no
CNT-IDX-0000001	1	1,17	REF			0	p001-c00	3	1
CNT-IDX-0000001	2	16,54	REF			0	p001-c00	3	2
CNT-IDX-0000002	1	119,88	REF			0	p001-c00	4	1
CNT-IDX-0000002	2	121,52	REF			0	p001-c00	4	2
CNT-IDX-0000002	3	131,58	REF			0	p001-c00	4	3
CNT-IDX-0000002	4	v.	SIGLA_ONLY			1	p001-c00	4	4
CNT-IDX-0000003	1	1,1	REF			0	p001-c00	6	1
CNT-IDX-0000004	1	22,36	REF			0	p001-c00	8	1
CNT-IDX-0000005	1	121,102	REF			0	p001-c00	9	1
CNT-IDX-0000006	1	77,72	REF			0	p001-c00	10	1
CNT-IDX-0000007	1	5	RANGE_START			0	p001-c00	11	1
CNT-IDX-0000008	1	67,49	REF			0	p001-c00	13	1
CNT-IDX-0000009	1	77,93	REF			0	p001-c00	14	1
CNT-IDX-0000010	1	4,24	REF		^	0	p001-c00	15	1
CNT-IDX-0000011	1	4,85	REF			0	p001-c00	16	1
CNT-IDX-0000012	1	84,82	REF			0	p001-c00	17	1
CNT-IDX-0000013	1	33,48	REF			0	p001-c00	18	1
CNT-IDX-0000014	1	55,46	REF			0	p001-c00	19	1
CNT-IDX-0000015	1	128,11	REF			0	p001-c00	22	1
CNT-IDX-0000016	1	121,98	REF			0	p001-c00	23	1
CNT-IDX-0000016	2	125,87	REF	J		0	p001-c00	23	2
CNT-IDX-0000016	3	129,35	REF			0	p001-c00	23	3
CNT-IDX-0000017	1	67,8	REF			0	p001-c00	25	1
CNT-IDX-0000018	1	19,74	REF			0	p001-c00	26	1
CNT-IDX-0000019	1	53,75	REF		°	0	p001-c00	27	1
CNT-IDX-0000020	1	12,60	REF			0	p001-c00	28	1
CNT-IDX-0000021	1	112,97	REF			0	p001-c00	29	1
CNT-IDX-0000022	1	7,27	REF			0	p001-c00	30	1
CNT-IDX-0000023	1	7,42	REF			0	p001-c00	31	1
CNT-IDX-0000024	1	28,94	REF			0	p001-c00	32	1
CNT-IDX-0000025	1	120,56	REF			0	p001-c00	33	1
CNT-IDX-0000025	2	121 464s 195,8	OTHER			0	p001-c00	33	2
CNT-IDX-0000025	3	1:	OTHER			0	p001-c00	33	3
CNT-IDX-0000026	1	4,24	REF			0	p001-c00	35	1
CNT-IDX-0000027	1	74,10	REF			0	p001-c00	36	1
CNT-IDX-0000028	1	12,26	REF			0	p001-c00	38	1
CNT-IDX-0000029	1	12,43	REF			0	p001-c00	39	1
CNT-IDX-0000030	1	105,15	REF			0	p001-c00	40	1
CNT-IDX-0000031	1	105,15	REF		°	0	p001-c00	41	1
CNT-IDX-0000032	1	28,86	REF			0	p001-c00	42	1
CNT-IDX-0000033	1	13,2	REF			0	p001-c00	43	1
CNT-IDX-0000034	1	120,33	REF			0	p001-c00	44	1
CNT-IDX-0000034	2	135,72	REF			0	p001-c00	44	2
CNT-IDX-0000034	3	131,9	REF			0	p001-c00	44	3
CNT-IDX-0000035	1	28,69	REF			0	p001-c00	47	1
CNT-IDX-0000036	1	67,47	REF			0	p001-c00	48	1
CNT-IDX-0000037	1	4	REF			0	p001-c00	50	1
CNT-IDX-0000038	1	125,261	REF			0	p001-c00	51	1
CNT-IDX-0000039	1	13,1	REF			0	p001-c00	52	1
CNT-IDX-0000040	1	22,98	REF			0	p001-c00	53	1
CNT-IDX-0000041	1	29,74	REF			0	p001-c00	54	1
CNT-IDX-0000042	1	37,89	REF			0	p001-c00	55	1
CNT-IDX-0000043	1	3,10	REF			0	p001-c01	3	1
CNT-IDX-0000044	1	48,75	REF		°	0	p001-c01	4	1
CNT-IDX-0000045	1	48,72	REF			0	p001-c01	5	1
CNT-IDX-0000046	1	103,26	REF			0	p001-c01	7	1
CNT-IDX-0000046	2	130	REF			0	p001-c01	7	2
CNT-IDX-0000047	1	97,79	REF			0	p001-c01	8	1
CNT-IDX-0000048	1	47,43	REF			0	p001-c01	9	1
CNT-IDX-0000049	1	23 69 ° 132,151 abradit 71 91	OTHER			0	p001-c01	10	1
CNT-IDX-0000050	1	120,66	REF			0	p001-c01	12	1
CNT-IDX-0000050	2	12 15% 194,67	OTHER			0	p001-c01	12	2
CNT-IDX-0000050	3	195 24 60 86 Abram 120 65	OTHER			0	p001-c01	12	3
CNT-IDX-0000050	4	12: 194,66	OTHER			0	p001-c01	12	4
CNT-IDX-0000050	5	125,93	REF			0	p001-c01	12	5
CNT-IDX-0000050	6	1:	OTHER			0	p001-c01	12	6
CNT-IDX-0000051	1	87,67	REF			0	p001-c01	16	1
CNT-IDX-0000052	1	31,19	REF			0	p001-c01	17	1
CNT-IDX-0000053	1	46,61	REF			0	p001-c01	18	1
CNT-IDX-0000054	1	46,67	REF			0	p001-c01	19	1
CNT-IDX-0000055	1	15 61”	OTHER			0	p001-c01	20	1
CNT-IDX-0000056	1	10,91	REF			0	p001-c01	21	1
CNT-IDX-0000057	1	11,13	REF			0	p001-c01	22	1
CNT-IDX-0000058	1	11,38	REF			0	p001-c01	23	1
CNT-IDX-0000059	1	11 59 24 115	OTHER			0	p001-c01	24	1
CNT-IDX-0000059	2	abscondit abscondidit	OTHER			0	p001-c01	24	2
CNT-IDX-0000060	1	22,82	REF			0	p001-c01	27	1
CNT-IDX-0000061	1	22,32	REF		°	0	p001-c01	28	1
CNT-IDX-0000062	1	29,95	REF			0	p001-c01	29	1
CNT-IDX-0000063	1	103,85	REF			0	p001-c01	30	1
CNT-IDX-0000064	1	103,86	REF			0	p001-c01	31	1
CNT-IDX-0000065	1	1,75	REF			0	p001-c01	32	1
CNT-IDX-0000066	1	48,100	REF			0	p001-c01	33	1
CNT-IDX-0000067	1	49 7 31,4 abstulit 22 81 °	OTHER		°	0	p001-c01	34	1
CNT-IDX-0000068	1	32 13 01 absumpsit 32 78	OTHER			0	p001-c01	37	1
CNT-IDX-0000069	1	27,55	REF			0	p001-c01	39	1
CNT-IDX-0000070	1	76,55	REF			0	p001-c01	40	1
CNT-IDX-0000071	1	20,78	REF			0	p001-c01	41	1
CNT-IDX-0000072	1	24,87	REF			0	p001-c01	42	1
CNT-IDX-0000073	1	24,85	REF			0	p001-c01	43	1
CNT-IDX-0000074	1	120,58	REF			0	p001-c01	44	1
CNT-IDX-0000074	2	12.	OTHER			0	p001-c01	44	2
CNT-IDX-0000075	1	93,68	REF			0	p001-c01	45	1
CNT-IDX-0000075	2	190 124,102	OTHER			0	p001-c01	45	2
CNT-IDX-0000075	3	124 41 5 jac 1,31	OTHER			0	p001-c01	45	3
CNT-IDX-0000075	4	18 56. 49 72 Academia 88 83	OTHER			0	p001-c01	45	4
CNT-IDX-0000076	1	88,84	REF			0	p001-c01	49	1
CNT-IDX-0000077	1	86,13	REF			0	p001-c01	50	1
CNT-IDX-0000078	1	49,75 acatus 110 56 9 14 accedit 10 92	OTHER			0	p001-c01	51	1
CNT-IDX-0000079	1	76,91	REF			0	p001-c01	53	1
CNT-IDX-0000080	1	76,92	REF			0	p001-c01	54	1
CNT-IDX-0000081	1	10,67	REF			0	p001-c01	55	1
CNT-IDX-0000082	1	11,26	REF			0	p001-c01	56	1
CNT-IDX-0000083	1	11,14	REF			0	p001-c01	57	1
CNT-IDX-0000084	1	11,39	REF			0	p001-c01	58	1
CNT-IDX-0000085	1	97,37	REF			0	p001-c02	4	1
CNT-IDX-0000086	1	97,55	REF			0	p001-c02	5	1
CNT-IDX-0000087	1	97,36	REF			0	p001-c02	6	1
CNT-IDX-0000088	1	10 56 65 accipiter 111 37	OTHER			0	p001-c02	7	1
CNT-IDX-0000089	1	11,60	REF			0	p001-c02	9	1
CNT-IDX-0000090	1	94,10	REF			0	p001-c02	10	1
CNT-IDX-0000091	1	114,95	REF			0	p001-c02	11	1
CNT-IDX-0000092	1	37 20 1,16	OTHER			0	p001-c02	12	1
CNT-IDX-0000092	2	acconmodat 20 8	OTHER			0	p001-c02	12	2
CNT-IDX-0000093	1	81 31 ° 31,31 aceumbit $1 36	OTHER			0	p001-c02	14	1
CNT-IDX-0000094	1	90,6	REF			0	p001-c02	17	1
CNT-IDX-0000095	1	35,56	REF			0	p001-c02	18	1
CNT-IDX-0000096	1	30,76	REF			0	p001-c02	20	1
CNT-IDX-0000097	1	54,64	REF			0	p001-c02	21	1
CNT-IDX-0000098	1	54,67	REF			0	p001-c02	22	1
CNT-IDX-0000099	1	54,65	REF			0	p001-c02	23	1
CNT-IDX-0000100	1	91,51	REF			0	p001-c02	24	1
CNT-IDX-0000101	1	69 77 12,88 acetum 69 76	OTHER			0	p001-c02	25	1
CNT-IDX-0000102	1	86,31	REF			0	p001-c02	27	1
CNT-IDX-0000103	1	86,32	REF			0	p001-c02	28	1
CNT-IDX-0000104	1	99,95	REF			0	p001-c02	29	1
CNT-IDX-0000105	1	58,91	REF			0	p001-c02	30	1
CNT-IDX-0000106	1	58,92	REF			0	p001-c02	31	1
CNT-IDX-0000107	1	115,10	REF			0	p001-c02	32	1
CNT-IDX-0000108	1	69,75	REF			0	p001-c02	35	1
CNT-IDX-0000109	1	45,38	REF			0	p001-c02	36	1
CNT-IDX-0000110	1	114,96	REF			0	p001-c02	37	1
CNT-IDX-0000111	1	105,99	REF			0	p001-c02	38	1
CNT-IDX-0000112	1	105,100	REF			0	p001-c02	39	1
CNT-IDX-0000113	1	55,37	REF			0	p001-c02	40	1
CNT-IDX-0000114	1	98,85	REF			0	p001-c02	41	1
CNT-IDX-0000115	1	105,18	REF			0	p001-c02	42	1
CNT-IDX-0000116	1	54,66	REF			0	p001-c02	43	1
CNT-IDX-0000117	1	88,85	REF			0	p001-c02	44	1
CNT-IDX-0000118	1	108,8	REF			0	p001-c02	48	1
CNT-IDX-0000119	1	108,9	REF			0	p001-c02	49	1
CNT-IDX-0000120	1	28,81	REF			0	p001-c02	50	1
CNT-IDX-0000121	1	28,83	REF			0	p001-c02	51	1
CNT-IDX-0000122	1	28,84	REF			0	p001-c02	52	1
CNT-IDX-0000123	1	28,82	REF			0	p001-c02	53	1
CNT-IDX-0000124	1	65,85	REF			0	p001-c02	56	1
CNT-IDX-0000125	1	73,55	REF			0	p001-c02	57	1
CNT-IDX-0000126	1	75,50	REF			0	p001-c02	58	1
CNT-IDX-0000127	1	73,51	REF			0	p001-c03	2	1
CNT-IDX-0000128	1	2,22	REF			0	p001-c03	3	1
CNT-IDX-0000129	1	2,23	REF			0	p001-c03	4	1
CNT-IDX-0000130	1	1,2	REF			0	p001-c03	5	1
CNT-IDX-0000131	1	46,38	REF			0	p001-c03	6	1
CNT-IDX-0000132	1	120,54	REF			0	p001-c03	7	1
CNT-IDX-0000132	2	121,1	REF			0	p001-c03	7	2
CNT-IDX-0000132	3	124,14	REF			0	p001-c03	7	3
CNT-IDX-0000132	4	125,1	REF			0	p001-c03	7	4
CNT-IDX-0000132	5	131,1	REF			0	p001-c03	7	5
CNT-IDX-0000133	1	36,22	REF			0	p001-c03	9	1
CNT-IDX-0000134	1	90,33	REF			0	p001-c03	10	1
CNT-IDX-0000135	1	70,6	REF			0	p001-c03	11	1
CNT-IDX-0000136	1	57,19	REF			0	p001-c03	12	1
CNT-IDX-0000137	1	57,15	REF			0	p001-c03	13	1
CNT-IDX-0000138	1	57,17	REF			0	p001-c03	14	1
CNT-IDX-0000139	1	57,77	REF			0	p001-c03	15	1
CNT-IDX-0000140	1	21,102	REF			0	p001-c03	16	1
CNT-IDX-0000141	1	13,38	REF		°	0	p001-c03	17	1
CNT-IDX-0000142	1	13 38»	OTHER			0	p001-c03	18	1
CNT-IDX-0000143	1	27,24	REF			0	p001-c03	19	1
CNT-IDX-0000144	1	27,14	REF			0	p001-c03	20	1
CNT-IDX-0000145	1	27,34	REF			0	p001-c03	21	1
CNT-IDX-0000146	1	6,64	REF			0	p001-c03	22	1
CNT-IDX-0000147	1	53,81	REF			0	p001-c03	23	1
CNT-IDX-0000148	1	53,77	REF			0	p001-c03	25	1
CNT-IDX-0000149	1	12,61	REF			0	p001-c03	26	1
CNT-IDX-0000150	1	6,73	REF			0	p001-c03	27	1
CNT-IDX-0000151	1	53 67?	OTHER			0	p001-c03	28	1
CNT-IDX-0000152	1	7,28	REF			0	p001-c03	29	1
CNT-IDX-0000153	1	7,43	REF			0	p001-c03	30	1
CNT-IDX-0000154	1	28,95	REF			0	p001-c03	31	1
CNT-IDX-0000155	1	26,93	REF			0	p001-c03	32	1
CNT-IDX-0000156	1	63,82	REF			0	p001-c03	33	1
CNT-IDX-0000157	1	63,84	REF			0	p001-c03	34	1
CNT-IDX-0000158	1	96,87	REF			0	p001-c03	35	1
CNT-IDX-0000159	1	32,84	REF			0	p001-c03	36	1
CNT-IDX-0000160	1	102,91	REF			0	p001-c03	37	1
CNT-IDX-0000161	1	4,86	REF		*	0	p001-c03	38	1
CNT-IDX-0000162	1	83,46	REF			0	p001-c03	40	1
CNT-IDX-0000163	1	29,55	REF			0	p001-c03	42	1
CNT-IDX-0000164	1	22,61	REF			0	p001-c03	43	1
CNT-IDX-0000165	1	22,65	REF			0	p001-c03	44	1
CNT-IDX-0000166	1	4,89	REF			0	p001-c03	45	1
CNT-IDX-0000167	1	22,39	REF			0	p001-c03	46	1
CNT-IDX-0000168	1	66,26	REF			0	p001-c03	47	1
CNT-IDX-0000169	1	66,29	REF			0	p001-c03	48	1
CNT-IDX-0000170	1	66,20	REF			0	p001-c03	49	1
CNT-IDX-0000171	1	34,58	REF			0	p001-c03	50	1
CNT-IDX-0000172	1	66,23	REF			0	p001-c03	51	1
CNT-IDX-0000173	1	3-4 68	OTHER			0	p001-c03	52	1
CNT-IDX-0000174	1	66,32	REF			0	p001-c03	53	1
CNT-IDX-0000175	1	66,35	REF			0	p001-c03	54	1
CNT-IDX-0000176	1	74,24	REF			0	p001-c03	55	1
CNT-IDX-0000177	1	68,47	REF			0	p001-c03	56	1
CNT-IDX-0000178	1	68,15	REF			0	p001-c03	57	1
CNT-IDX-0000179	1	110,43	REF			0	p002-c00	2	1
CNT-IDX-0000180	1	26,62	REF			0	p002-c00	3	1
CNT-IDX-0000181	1	26,69	REF			0	p002-c00	4	1
CNT-IDX-0000182	1	110,48	REF			0	p002-c00	5	1
CNT-IDX-0000183	1	27,84	REF			0	p002-c00	6	1
CNT-IDX-0000184	1	44,48	REF			0	p002-c00	7	1
CNT-IDX-0000185	1	79,62	REF		*	0	p002-c00	8	1
CNT-IDX-0000186	1	26,82	REF			0	p002-c00	9	1
CNT-IDX-0000187	1	51,15	REF			0	p002-c00	12	1
CNT-IDX-0000188	1	115,4	REF			0	p002-c00	13	1
CNT-IDX-0000189	1	7,56	REF			0	p002-c00	14	1
CNT-IDX-0000190	1	20,10	REF			0	p002-c00	15	1
CNT-IDX-0000191	1	53,51	REF			0	p002-c00	16	1
CNT-IDX-0000192	1	5,14	REF			0	p002-c00	17	1
CNT-IDX-0000193	1	12,27	REF			0	p002-c00	18	1
CNT-IDX-0000194	1	12,44	REF			0	p002-c00	19	1
CNT-IDX-0000195	1	28,87	REF			0	p002-c00	20	1
CNT-IDX-0000196	1	13,4	REF			0	p002-c00	21	1
CNT-IDX-0000197	1	20 33”	OTHER			0	p002-c00	22	1
CNT-IDX-0000198	1	26,89	REF			0	p002-c00	23	1
CNT-IDX-0000199	1	53,24	REF			0	p002-c00	24	1
CNT-IDX-0000200	1	119,14	REF			0	p002-c00	25	1
CNT-IDX-0000201	1	119,15	REF			0	p002-c00	26	1
CNT-IDX-0000202	1	74,61	REF			0	p002-c00	27	1
CNT-IDX-0000203	1	12,98	REF			0	p002-c00	28	1
CNT-IDX-0000204	1	13,3	REF			0	p002-c00	29	1
CNT-IDX-0000205	1	52,74	REF			0	p002-c00	30	1
CNT-IDX-0000206	1	66,6	REF			0	p002-c00	31	1
CNT-IDX-0000207	1	65,98	REF			0	p002-c00	32	1
CNT-IDX-0000208	1	66,2	REF			0	p002-c00	33	1
CNT-IDX-0000209	1	52,71	REF			0	p002-c00	34	1
CNT-IDX-0000210	1	52,72	REF			0	p002-c00	35	1
CNT-IDX-0000211	1	52,72	REF		°	0	p002-c00	36	1
CNT-IDX-0000212	1	52,73	REF			0	p002-c00	37	1
CNT-IDX-0000213	1	52,70	REF			0	p002-c00	38	1
CNT-IDX-0000214	1	22,99	REF			0	p002-c00	39	1
CNT-IDX-0000215	1	27,89	REF			0	p002-c00	40	1
CNT-IDX-0000216	1	29,16	REF			0	p002-c00	41	1
CNT-IDX-0000217	1	37,90	REF			0	p002-c00	42	1
CNT-IDX-0000218	1	26,18	REF			0	p002-c00	43	1
CNT-IDX-0000219	1	26,14	REF			0	p002-c00	44	1
CNT-IDX-0000220	1	30,64	REF			0	p002-c00	46	1
CNT-IDX-0000221	1	30 £0.	OTHER			0	p002-c00	47	1
CNT-IDX-0000222	1	30,46	REF			0	p002-c00	48	1
CNT-IDX-0000223	1	"80 39"""	OTHER			0	p002-c00	49	1
CNT-IDX-0000224	1	34,88	REF			0	p002-c00	50	1
CNT-IDX-0000225	1	51,35	REF			0	p002-c00	51	1
CNT-IDX-0000226	1	25,17	REF			0	p002-c00	52	1
CNT-IDX-0000227	1	25,11	REF			0	p002-c00	53	1
CNT-IDX-0000228	1	43,77	REF			0	p002-c00	54	1
CNT-IDX-0000229	1	43,76	REF			0	p002-c00	55	1
CNT-IDX-0000230	1	23,28	REF			0	p002-c00	56	1
CNT-IDX-0000231	1	23,14	REF			0	p002-c00	57	1
CNT-IDX-0000232	1	20,10	REF			0	p002-c00	58	1
CNT-IDX-0000233	1	53,56	REF			0	p002-c00	59	1
CNT-IDX-0000234	1	47,6	REF			0	p002-c00	60	1
CNT-IDX-0000235	1	31,65	REF			0	p002-c00	61	1
CNT-IDX-0000236	1	2,99	REF		°	0	p002-c00	62	1
CNT-IDX-0000237	1	21,73	REF			0	p002-c00	63	1
CNT-IDX-0000238	1	122 208.	OTHER			0	p002-c00	65	1
CNT-IDX-0000239	1	25,89	REF			0	p002-c00	66	1
CNT-IDX-0000240	1	80,75	REF			0	p002-c00	67	1
CNT-IDX-0000241	1	63 85?	OTHER			0	p002-c00	68	1
CNT-IDX-0000242	1	83,13	REF			0	p002-c00	69	1
CNT-IDX-0000243	1	64,45	REF			0	p002-c00	70	1
CNT-IDX-0000244	1	64,27	REF			0	p002-c00	71	1
CNT-IDX-0000245	1	33,87	REF			0	p002-c00	72	1
CNT-IDX-0000246	1	93,15	REF			0	p002-c00	73	1
CNT-IDX-0000247	1	32,65	REF			0	p002-c00	74	1
CNT-IDX-0000248	1	36 19 ad	OTHER			0	p002-c01	2	1
CNT-IDX-0000249	1	29 54 ad	OTHER			0	p002-c01	3	1
CNT-IDX-0000250	1	23 102 ad	OTHER			0	p002-c01	5	1
CNT-IDX-0000251	1	65 50 * ad	OTHER			0	p002-c01	6	1
CNT-IDX-0000252	1	23 57 ad	OTHER			0	p002-c01	7	1
CNT-IDX-0000253	1	7 17 ad	OTHER			0	p002-c01	8	1
CNT-IDX-0000254	1	23 71 ad	OTHER			0	p002-c01	9	1
CNT-IDX-0000255	1	29 58 ad	OTHER			0	p002-c01	10	1
CNT-IDX-0000256	1	29 6. ad	OTHER			0	p002-c01	11	1
CNT-IDX-0000257	1	24 14 ad	OTHER			0	p002-c01	12	1
CNT-IDX-0000258	1	24 4 ad	OTHER			0	p002-c01	13	1
CNT-IDX-0000259	1	19 93 ad	OTHER			0	p002-c01	14	1
CNT-IDX-0000260	1	57 72 ad	OTHER			0	p002-c01	15	1
CNT-IDX-0000261	1	63 56 (ad	OTHER			0	p002-c01	16	1
CNT-IDX-0000262	1	94 28 ad	OTHER			0	p002-c01	17	1
CNT-IDX-0000263	1	96 35? ad	OTHER			0	p002-c01	18	1
CNT-IDX-0000264	1	26 35 * ad	OTHER			0	p002-c01	19	1
CNT-IDX-0000265	1	71 31 ad	OTHER			0	p002-c01	20	1
CNT-IDX-0000266	1	71 31 * ad	OTHER			0	p002-c01	21	1
CNT-IDX-0000267	1	2 37 ad	OTHER			0	p002-c01	22	1
CNT-IDX-0000268	1	29 24 “ad:	OTHER			0	p002-c01	23	1
CNT-IDX-0000269	1	29 31 ad	OTHER			0	p002-c01	24	1
CNT-IDX-0000270	1	27 93 ad	OTHER			0	p002-c01	25	1
CNT-IDX-0000271	1	128 46 ad	OTHER			0	p002-c01	26	1
CNT-IDX-0000272	1	31 25 (ad	OTHER			0	p002-c01	27	1
CNT-IDX-0000273	1	31 20 ad	OTHER			0	p002-c01	28	1
CNT-IDX-0000274	1	128 52 Lad	OTHER			0	p002-c01	29	1
CNT-IDX-0000275	1	63 97 ad	OTHER			0	p002-c01	30	1
CNT-IDX-0000276	1	21 92 ad	OTHER			0	p002-c01	31	1
CNT-IDX-0000277	1	6 86 ad	OTHER			0	p002-c01	32	1
CNT-IDX-0000278	1	6 98 ad	OTHER			0	p002-c01	33	1
CNT-IDX-0000279	1	50 47? adi	OTHER			0	p002-c01	34	1
CNT-IDX-0000280	1	50 36 ad	OTHER			0	p002-c01	35	1
CNT-IDX-0000281	1	21 20 ad	OTHER			0	p002-c01	36	1
CNT-IDX-0000282	1	30 5 ad	OTHER			0	p002-c01	38	1
CNT-IDX-0000283	1	57 26 ad	OTHER			0	p002-c01	39	1
CNT-IDX-0000284	1	34 £4 ad	OTHER			0	p002-c01	40	1
CNT-IDX-0000285	1	65 62 ad	OTHER			0	p002-c01	41	1
CNT-IDX-0000286	1	50 27 ad	OTHER			0	p002-c01	42	1
CNT-IDX-0000287	1	50 52 (ad	OTHER			0	p002-c01	43	1
CNT-IDX-0000288	1	46 75 (ad	OTHER			0	p002-c01	44	1
CNT-IDX-0000289	1	64 96 ad	OTHER			0	p002-c01	46	1
CNT-IDX-0000290	1	64 91 ad	OTHER			0	p002-c01	47	1
CNT-IDX-0000291	1	53 95 ad	OTHER			0	p002-c01	49	1
CNT-IDX-0000292	1	24 49 ^ ad	OTHER			0	p002-c01	50	1
CNT-IDX-0000293	1	24 40 ad:	OTHER			0	p002-c01	51	1
CNT-IDX-0000294	1	54 83? ads	OTHER			0	p002-c01	52	1
CNT-IDX-0000295	1	24 61 ad	OTHER			0	p002-c01	54	1
CNT-IDX-0000296	1	24 69 ad	OTHER			0	p002-c01	55	1
