source_column	line_no	reason	line
p001-c00	5	NO_MATCH	52; 131,58; v.
p001-c00	7	NO_MATCH	ab absente secund
p001-c00	12	NO_MATCH	ab adversa parte
p001-c00	20	NO_MATCH	Abbacue v. Abaen
p001-c00	21	NO_MATCH	bacue
p001-c00	24	NO_MATCH	125,87;129,35
p001-c00	34	NO_MATCH	464s 195,8; 1:
p001-c00	37	NO_MATCH	abhorraàit 7-4, 100
p001-c00	45	NO_MATCH	135, 72; 131, 9
p001-c00	46	NO_MATCH	ab ineunte aetate
p001-c00	49	NO_MATCH	ab initio adulescent
p001-c00	56	NO_MATCH	Abmos(?) 129, 34
p001-c01	1	NO_MATCH	. ALPHABETICVS
p001-c01	2	NO_MATCH	TIRO
p001-c01	6	NO_MATCH	,48;125, abuuit 78,3
p001-c01	7	NO_MATCH	Charon | abolet 103, 26; 130,
p001-c01	9	NO_MATCH	um prae- | abominatur 47, 43
p001-c01	11	NO_MATCH	132,151 | abradit 71, 91
p001-c01	13	NO_MATCH	15% | 194,67; 195, 24
p001-c01	14	NO_MATCH	60, 86 Abram 120, 65; 12:
p001-c01	15	NO_MATCH	194,66; 125,93; 1:
p001-c01	18	NO_MATCH	i | abrumpit 46, 61
p001-c01	22	NO_MATCH	c et Ha- | abscessit. 11, 13
p001-c01	25	NO_MATCH	24, 115; | abscondit, abscondidit
p001-c01	26	NO_MATCH	;132,147 | absconditum 12, 90
p001-c01	35	NO_MATCH	,9; 124, | abstinet 6, 50
p001-c01	36	NO_MATCH	31,4 abstulit 22, 81°
p001-c01	38	NO_MATCH	01 | absumpsit 32, 78
p001-c01	46	NO_MATCH	124,102;| 124, 41
p001-c01	47	NO_MATCH	5 jac 1,31; 18, 56.
p001-c01	48	NO_MATCH	49, 72 Academia 88, 83
p001-c01	52	NO_MATCH	9, 14 accedit 10, 92
p001-c01	58	NO_MATCH	| accidit 11, 39
p001-c02	2	NO_MATCH	AD COMMENTARI
p001-c02	3	NO_MATCH	NIANARVM.
p001-c02	8	NO_MATCH	65 | accipiter 111, 37
p001-c02	13	NO_MATCH	1,16; | acconmodat 20, 8
p001-c02	15	NO_MATCH	, 15; acenbuit $1, 42
p001-c02	16	NO_MATCH	31,31, aceumbit $1, 36
p001-c02	19	NO_MATCH	accusat, 50, 70
p001-c02	26	NO_MATCH	12,88 | acetum 69, 76
p001-c02	33	NO_MATCH	Achilléus 115, 11
p001-c02	34	NO_MATCH	achimenatis (?) 99, 96
p001-c02	45	NO_MATCH	, 42 | acroma 106, 77
p001-c02	46	NO_MATCH	, 97; acromaticus 106, 78
p001-c02	47	NO_MATCH	actenus r. hactenus
p001-c02	54	NO_MATCH	; actorum 28, 83^
p001-c02	55	NO_MATCH	, acuit. 13, 47
p001-c02	59	NO_MATCH	" aeutor 73, 59
p001-c03	1	NO_MATCH	OS NOTARVM
p001-c03	8	NO_MATCH	14; 125, 1; 131, 1
p001-c03	24	NO_MATCH	! addidit 12, 75
p001-c03	39	NO_MATCH	; ad fadimas 128, 60
p001-c03	41	NO_MATCH	‘| adfecit. 22, 43
p002-c00	1	NO_MATCH	adfüxit 68, 16
p002-c00	10	NO_MATCH	. adgyrat 96, 17°
p002-c00	11	NO_MATCH	. adhaeret 51, 12
p002-c00	45	NO_MATCH	adm v. amm
p002-c00	64	NO_MATCH	ad nostra(m) praesentia(m)
p002-c01	1	NO_MATCH	— "n
p002-c01	37	NO_MATCH	-adsentit 21, 16 | adi
p002-c01	45	NO_MATCH	adsistit L6, 98 | ad
p002-c01	48	NO_MATCH	-adsparsit 64, 94 ; ad;
p002-c01	53	NO_MATCH	adstitit, 24, 53 ad
